epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,6753.85,1.26507,0.48646,1.25458,0.99019,0.99043,0.99441,0.71916,1.18958,0.4452,1.17501,0.000301173,0.000301173,0.000301173
96,6823.42,1.25911,0.48659,1.24648,0.98989,0.98998,0.9944,0.7184,1.18982,0.4422,1.17559,0.000295867,0.000295867,0.000295867
97,6893.47,1.25083,0.47998,1.25056,0.98936,0.98915,0.99436,0.71861,1.18853,0.44168,1.17475,0.00029056,0.00029056,0.00029056
98,6965.24,1.25636,0.48277,1.25535,0.99088,0.99096,0.99446,0.71734,1.18651,0.44288,1.17376,0.000285253,0.000285253,0.000285253
99,7036.34,1.2585,0.48093,1.23938,0.98949,0.99096,0.99447,0.71896,1.1836,0.43829,1.17274,0.000279947,0.000279947,0.000279947
100,7107.22,1.24368,0.47748,1.24655,0.9888,0.98989,0.99437,0.71989,1.18546,0.4376,1.17322,0.00027464,0.00027464,0.00027464
101,7177.78,1.2405,0.47631,1.23661,0.98886,0.98989,0.99442,0.72085,1.18099,0.43676,1.17121,0.000269333,0.000269333,0.000269333
102,7250.55,1.24689,0.48025,1.23993,0.98974,0.99096,0.99443,0.72084,1.1814,0.4365,1.17093,0.000264027,0.000264027,0.000264027
103,7323.49,1.25304,0.47914,1.24275,0.98779,0.98938,0.99415,0.72085,1.17982,0.43683,1.17022,0.00025872,0.00025872,0.00025872
104,7396.1,1.23726,0.47394,1.23076,0.98774,0.98883,0.9941,0.72092,1.17892,0.43714,1.16932,0.000253413,0.000253413,0.000253413
105,7468.76,1.23684,0.47615,1.23266,0.98876,0.98989,0.9944,0.7219,1.17769,0.43822,1.16856,0.000248107,0.000248107,0.000248107
106,7540.94,1.25211,0.4786,1.2458,0.98831,0.98967,0.99424,0.72196,1.17787,0.43535,1.16819,0.0002428,0.0002428,0.0002428
107,7612.8,1.23611,0.47273,1.23678,0.98672,0.98814,0.99312,0.72056,1.17794,0.43586,1.16743,0.000237493,0.000237493,0.000237493
